# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
A4GALT	A4GALT	NM_001318038.2	protein_coding	0	5	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0
A4GALT	A4GALT	NM_017436.7	protein_coding	0	5	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0
ACO2	ACO2	NM_001098.3	protein_coding	0	32	3	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	32	0
ACR	ACR.2	NM_001097.3.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADA2	ADA2	NM_001282225.2	protein_coding	0	15	5	3	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	15	0
ADA2	ADA2	NM_001282226.2	protein_coding	0	15	5	3	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	15	0
ADA2	ADA2	NM_001282227.2	protein_coding	0	14	5	4	0	0	1	0	0	0	0	0	0	4	5	0	0	1	0	0	0	13	0
ADA2	ADA2	NM_001282228.2	protein_coding	0	14	5	4	0	0	1	0	0	0	0	0	0	4	5	0	0	1	0	0	0	13	0
ADA2	ADA2	NM_001282229.1	protein_coding	0	11	5	7	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	11	0
ADA2	ADA2	NM_177405.3	protein_coding	0	6	3	8	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	6	5
ADM2	ADM2	NM_001253845.2	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ADM2	ADM2	NM_001369882.1	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ADORA2A	ADORA2A	NM_000675.6	protein_coding	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0
ADORA2A	ADORA2A	NM_001278497.1	protein_coding	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0
ADORA2A	ADORA2A	NM_001278498.1	protein_coding	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0
ADORA2A	ADORA2A	NM_001278499.2	protein_coding	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0
ADORA2A	ADORA2A	NM_001278500.1	protein_coding	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0
ADORA2A	ADORA2A	NR_103543.2		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ADORA2A	ADORA2A	NR_103544.2		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ADORA2A-AS1	ADORA2A-AS1	NR_028483.2		0	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1
ADORA2A-AS1	ADORA2A-AS1	NR_028484.3		0	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1
ADSL	ADSL	NM_000026.4	protein_coding	0	10	3	3	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	10	0
ADSL	ADSL	NM_001123378.2	protein_coding	0	9	3	4	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	9	0
ADSL	ADSL	NM_001317923.1	protein_coding	0	5	3	8	0	0	3	0	0	0	0	0	0	5	3	0	0	0	0	0	0	5	0
ADSL	ADSL	NM_001363840.2	protein_coding	0	10	3	3	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	10	0
ADSL	ADSL	NR_134256.1		0	0	0	16	0	0	0	0	0	0	0	0	0	2	0	14	0	0	0	0	0	0	0
AIFM3	AIFM3	NM_001018060.3	protein_coding	0	0	0	33	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
AIFM3	AIFM3	NM_001146288.2	protein_coding	0	0	0	33	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
AIFM3	AIFM3	NM_144704.3	protein_coding	0	0	0	33	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
AIFM3	AIFM3	NR_027464.2		0	0	0	33	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
ALG12	ALG12	NM_024105.4	protein_coding	0	8	3	4	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	8	2
